date,sales
01-Jan-18,477
02-Jan-18,365
03-Jan-18,442
04-Jan-18,490
05-Jan-18,396
06-Jan-18,385
07-Jan-18,492
08-Jan-18,142
08-Jan-18,331
09-Jan-18,249
10-Jan-18,258
11-Jan-18,358
12-Jan-18,230
13-Jan-18,103
14-Jan-18,222
15-Jan-18,262
16-Jan-18,245
17-Jan-18,204
18-Jan-18,263
19-Jan-18,251
20-Jan-18,131
21-Jan-18,231
22-Jan-18,163
23-Jan-18,250
24-Jan-18,215
25-Jan-18,200
26-Jan-18,133
27-Jan-18,124
28-Jan-18,265
29-Jan-18,265
30-Jan-18,456
31-Jan-18,437
01-Feb-18,209
02-Feb-18,206
03-Feb-18,104
04-Feb-18,203
05-Feb-18,232
06-Feb-18,379
07-Feb-18,300
08-Feb-18,262
09-Feb-18,538
10-Feb-18,110
11-Feb-18,900
12-Feb-18,345
13-Feb-18,473
14-Feb-18,375
15-Feb-18,349
16-Feb-18,335
19-Feb-18,64
20-Feb-18,213
21-Feb-18,211
22-Feb-18,313
23-Feb-18,577
24-Feb-18,133
25-Feb-18,566
26-Feb-18,717
27-Feb-18,550
28-Feb-18,907
01-Mar-18,512
02-Mar-18,465
03-Mar-18,267
04-Mar-18,537
05-Mar-18,357
06-Mar-18,585
07-Mar-18,465
08-Mar-18,458
09-Mar-18,860
10-Mar-18,142
11-Mar-18,496
12-Mar-18,339
13-Mar-18,557
14-Mar-18,530
15-Mar-18,388
16-Mar-18,471
17-Mar-18,116
18-Mar-18,419
19-Mar-18,359
20-Mar-18,364
21-Mar-18,165
22-Mar-18,226
23-Mar-18,417
24-Mar-18,137
25-Mar-18,388
26-Mar-18,433
27-Mar-18,470
28-Mar-18,599
29-Mar-18,491
30-Mar-18,647
31-Mar-18,483
01-Apr-18,145
02-Apr-18,301
03-Apr-18,334
04-Apr-18,264
05-Apr-18,267
06-Apr-18,313
07-Apr-18,85
08-Apr-18,292
09-Apr-18,237
10-Apr-18,375
11-Apr-18,482
12-Apr-18,686
13-Apr-18,290
14-Apr-18,127
15-Apr-18,165
16-Apr-18,301
17-Apr-18,341
18-Apr-18,284
19-Apr-18,268
20-Apr-18,269
21-Apr-18,143
22-Apr-18,338
23-Apr-18,316
24-Apr-18,385
25-Apr-18,365
26-Apr-18,241
27-Apr-18,250
28-Apr-18,138
29-Apr-18,425
30-Apr-18,4000
01-May-18,202
02-May-18,260
03-May-18,280
04-May-18,258
05-May-18,95
06-May-18,223
07-May-18,286
08-May-18,299
09-May-18,201
10-May-18,500
11-May-18,137
12-May-18,110
13-May-18,178
14-May-18,423
15-May-18,378
16-May-18,254
17-May-18,202
18-May-18,219
19-May-18,114
20-May-18,316
21-May-18,278
22-May-18,339
23-May-18,325
24-May-18,242
25-May-18,291
26-May-18,106
27-May-18,361
28-May-18,306
29-May-18,350
30-May-18,232
31-May-18,368
01-Jun-18,231
02-Jun-18,128
03-Jun-18,400
04-Jun-18,172
05-Jun-18,141
06-Jun-18,226
07-Jun-18,377
08-Jun-18,212
09-Jun-18,105
10-Jun-18,263
11-Jun-18,285
12-Jun-18,252
13-Jun-18,193
14-Jun-18,166
15-Jun-18,352
16-Jun-18,96
17-Jun-18,285
18-Jun-18,343
19-Jun-18,214
20-Jun-18,276
21-Jun-18,178
22-Jun-18,229
23-Jun-18,121
24-Jun-18,275
25-Jun-18,321
26-Jun-18,295
27-Jun-18,378
28-Jun-18,257
29-Jun-18,324
30-Jun-18,342
01-Jul-18,180
02-Jul-18,217
03-Jul-18,531
04-Jul-18,249
05-Jul-18,244
06-Jul-18,467
07-Jul-18,174
08-Jul-18,301
09-Jul-18,268
10-Jul-18,285
11-Jul-18,251
12-Jul-18,252
13-Jul-18,280
14-Jul-18,95
15-Jul-18,237
16-Jul-18,262
17-Jul-18,276
18-Jul-18,273
19-Jul-18,289
20-Jul-18,210
21-Jul-18,92
22-Jul-18,293
23-Jul-18,298
24-Jul-18,227
25-Jul-18,255
26-Jul-18,699
27-Jul-18,503
28-Jul-18,126
29-Jul-18,323
30-Jul-18,513
31-Jul-18,3088
02-Aug-18,234
03-Aug-18,262
04-Aug-18,70
05-Aug-18,278
07-Aug-18,287
08-Aug-18,254
09-Aug-18,272
10-Aug-18,239
14-Aug-18,466
15-Aug-18,82
16-Aug-18,200
17-Aug-18,393
18-Aug-18,108
19-Aug-18,255
20-Aug-18,255
21-Aug-18,370
22-Aug-18,261
23-Aug-18,310
24-Aug-18,226
25-Aug-18,99
26-Aug-18,310
27-Aug-18,275
28-Aug-18,259
29-Aug-18,343
30-Aug-18,484
31-Aug-18,3400
01-Sep-18,298
02-Sep-18,171
03-Sep-18,211
04-Sep-18,329
05-Sep-18,217
06-Sep-18,289
07-Sep-18,285
08-Sep-18,165
09-Sep-18,305
10-Sep-18,255
11-Sep-18,224
12-Sep-18,286
13-Sep-18,219
14-Sep-18,350
15-Sep-18,95
16-Sep-18,164
17-Sep-18,234
18-Sep-18,223
19-Sep-18,249
20-Sep-18,253
21-Sep-18,189
22-Sep-18,116
23-Sep-18,233
24-Sep-18,404
25-Sep-18,383
26-Sep-18,289
27-Sep-18,224
28-Sep-18,210
29-Sep-18,126
30-Sep-18,220
01-Oct-18,148
02-Oct-18,187
03-Oct-18,196
04-Oct-18,233
05-Oct-18,162
06-Oct-18,108
07-Oct-18,195
08-Oct-18,109
09-Oct-18,175
10-Oct-18,144
11-Oct-18,190
12-Oct-18,399
13-Oct-18,100
14-Oct-18,224
15-Oct-18,299
16-Oct-18,197
17-Oct-18,189
18-Oct-18,119
19-Oct-18,209
20-Oct-18,125
21-Oct-18,197
22-Oct-18,365
23-Oct-18,164
24-Oct-18,208
25-Oct-18,294
26-Oct-18,214
27-Oct-18,98
28-Oct-18,60
29-Oct-18,110
30-Oct-18,182
31-Oct-18,252
01-Nov-18,192
02-Nov-18,130
04-Nov-18,183
05-Nov-18,233
06-Nov-18,241
07-Nov-18,225
08-Nov-18,1291
09-Nov-18,448
10-Nov-18,143
11-Nov-18,191
12-Nov-18,247
13-Nov-18,225
14-Nov-18,318
15-Nov-18,212
16-Nov-18,302
17-Nov-18,160
18-Nov-18,215
19-Nov-18,280
20-Nov-18,1929
21-Nov-18,281
22-Nov-18,716
23-Nov-18,406
24-Nov-18,107
25-Nov-18,285
26-Nov-18,260
27-Nov-18,618
28-Nov-18,267
29-Nov-18,364
30-Nov-18,344
01-Dec-18,247
03-Dec-18,181
04-Dec-18,231
05-Dec-18,195
06-Dec-18,235
07-Dec-18,172
08-Dec-18,230
09-Dec-18,174
10-Dec-18,259
11-Dec-18,217
12-Dec-18,258
13-Dec-18,212
14-Dec-18,242
15-Dec-18,256
16-Dec-18,171
17-Dec-18,292
18-Dec-18,267
19-Dec-18,219
20-Dec-18,166
21-Dec-18,237
22-Dec-18,91
23-Dec-18,172
24-Dec-18,274
25-Dec-18,262
26-Dec-18,127
27-Dec-18,277
28-Dec-18,343
29-Dec-18,120
30-Dec-18,228
01-Jan-19,136.25
02-Jan-19,252
03-Jan-19,307
04-Jan-19,89
05-Jan-19,135.35
06-Jan-19,271
07-Jan-19,170.15
08-Jan-19,216.15
09-Jan-19,199.2
10-Jan-19,180.45
11-Jan-19,233.45
12-Jan-19,155.85
13-Jan-19,83.7
14-Jan-19,194.6
15-Jan-19,182.1
16-Jan-19,175.85
17-Jan-19,160.15
18-Jan-19,182.45
19-Jan-19,153.6
20-Jan-19,65.65
21-Jan-19,184.45
22-Jan-19,113.7
23-Jan-19,152.35
24-Jan-19,154
25-Jan-19,493.55
26-Jan-19,103.25
27-Jan-19,105.4
28-Jan-19,200.2
30-Jan-19,280.35
31-Jan-19,313.15
01-Feb-19,116.35
02-Feb-19,166.05
03-Feb-19,117.55
04-Feb-19,146.8
05-Feb-19,164.35
06-Feb-19,235.15
07-Feb-19,220.6
08-Feb-19,188
09-Feb-19,344.85
10-Feb-19,90.85
11-Feb-19,335.4
12-Feb-19,240.75
13-Feb-19,320.35
14-Feb-19,249.45
15-Feb-19,240.6
16-Feb-19,209.9
19-Feb-19,41.2
20-Feb-19,139.15
21-Feb-19,155.05
22-Feb-19,241.1
23-Feb-19,401.5
24-Feb-19,122.1
25-Feb-19,369.05
26-Feb-19,503.55
27-Feb-19,382.2
28-Feb-19,612.45
02-Mar-19,322.35
03-Mar-19,207.55
04-Mar-19,377.45
05-Mar-19,253.85
06-Mar-19,397.7
07-Mar-19,328.25
08-Mar-19,314.25
09-Mar-19,569.9
10-Mar-19,106.8
11-Mar-19,337.4
12-Mar-19,248.6
13-Mar-19,360.05
14-Mar-19,374.05
15-Mar-19,274.7
16-Mar-19,327.7
17-Mar-19,79.3
18-Mar-19,305.95
19-Mar-19,248.45
20-Mar-19,216.9
21-Mar-19,82.3
22-Mar-19,172.05
23-Mar-19,276.3
24-Mar-19,105.5
25-Mar-19,240.8
26-Mar-19,286.75
27-Mar-19,334.45
28-Mar-19,381.65
29-Mar-19,308.65
31-Mar-19,348.9
01-Apr-19,116.8
02-Apr-19,1072
03-Apr-19,230.1
04-Apr-19,207.6
05-Apr-19,586
06-Apr-19,268
07-Apr-19,87.85
08-Apr-19,202.3
09-Apr-19,176.6
10-Apr-19,269.15
11-Apr-19,313.4
12-Apr-19,446.75
13-Apr-19,174.85
14-Apr-19,104.5
15-Apr-19,137.05
16-Apr-19,229.55
17-Apr-19,241.35
18-Apr-19,220.3
19-Apr-19,210.55
20-Apr-19,195.6
21-Apr-19,65.1
22-Apr-19,260.35
23-Apr-19,209.75
24-Apr-19,235.05
25-Apr-19,282.1
26-Apr-19,182.8
27-Apr-19,137.9
29-Apr-19,293.4
30-Apr-19,737.5
01-May-19,141.5
02-May-19,191.15
03-May-19,215.8
04-May-19,186.85
05-May-19,63.8
06-May-19,137.75
07-May-19,187.25
08-May-19,206.6
09-May-19,112.5
10-May-19,330.8
11-May-19,94.25
12-May-19,110.15
13-May-19,107.65
14-May-19,300.2
15-May-19,243.95
16-May-19,183.85
17-May-19,122.35
18-May-19,156.55
19-May-19,70.6
20-May-19,225.7
21-May-19,201.5
22-May-19,228.45
23-May-19,228.55
24-May-19,181.35
25-May-19,215.95
26-May-19,87.85
28-May-19,203.1
29-May-19,239.05
30-May-19,154.2
31-May-19,268.15
01-Jun-19,158.7
02-Jun-19,123.05
03-Jun-19,159.45
04-Jun-19,131.2
05-Jun-19,118.2
06-Jun-19,174.25
07-Jun-19,248.45
08-Jun-19,166.1
09-Jun-19,78.55
10-Jun-19,166.7
11-Jun-19,225.2
12-Jun-19,183.85
13-Jun-19,148.5
14-Jun-19,120.9
15-Jun-19,244.8
16-Jun-19,69.15
17-Jun-19,219.9
18-Jun-19,257.8
19-Jun-19,170.45
20-Jun-19,169.2
21-Jun-19,120.65
22-Jun-19,154
23-Jun-19,86.1
24-Jun-19,199.25
26-Jun-19,215.45
27-Jun-19,249.65
28-Jun-19,209.4
29-Jun-19,233.45
30-Jun-19,210.45
01-Jul-19,141.4
02-Jul-19,132.5
03-Jul-19,352.95
04-Jul-19,165.3
05-Jul-19,177.4
06-Jul-19,299.2
07-Jul-19,99.9
08-Jul-19,178.7
09-Jul-19,179.4
10-Jul-19,214.6
11-Jul-19,177.9
12-Jul-19,188.05
13-Jul-19,208.9
14-Jul-19,106
15-Jul-19,164.3
16-Jul-19,165.3
17-Jul-19,188.5
18-Jul-19,171.35
19-Jul-19,183.55
20-Jul-19,141.65
21-Jul-19,97
22-Jul-19,201.05
23-Jul-19,184.9
25-Jul-19,163
26-Jul-19,479
27-Jul-19,377.55
28-Jul-19,79.7
29-Jul-19,200.6
30-Jul-19,349.65
31-Jul-19,2068
01-Aug-19,1000
02-Aug-19,110
03-Aug-19,500
04-Aug-19,112
05-Aug-19,134
06-Aug-19,140
07-Aug-19,57
08-Aug-19,71
09-Aug-19,400
10-Aug-19,400
14-Aug-19,500
15-Aug-19,108
16-Aug-19,187
17-Aug-19,115
18-Aug-19,155
19-Aug-19,99
20-Aug-19,137
21-Aug-19,600
22-Aug-19,167
23-Aug-19,100
24-Aug-19,127
25-Aug-19,100
26-Aug-19,156
27-Aug-19,168
28-Aug-19,146
29-Aug-19,189
30-Aug-19,116
31-Aug-19,113
01-Sep-19,202.6
02-Sep-19,151.6
03-Sep-19,100
04-Sep-19,100
05-Sep-19,500
06-Sep-19,209.05
07-Sep-19,177.75
08-Sep-19,131.55
09-Sep-19,235.9
10-Sep-19,194.3
11-Sep-19,169.15
12-Sep-19,186.65
13-Sep-19,151
14-Sep-19,220.85
15-Sep-19,59.15
16-Sep-19,137.45
17-Sep-19,170.2
18-Sep-19,180.7
19-Sep-19,177.75
20-Sep-19,156.9
21-Sep-19,130.85
22-Sep-19,74.9
27-Sep-19,148.05
28-Sep-19,155.95
29-Sep-19,112.45
30-Sep-19,144.5
01-Oct-19,200
02-Oct-19,134.75
03-Oct-19,143.65
04-Oct-19,161.95
05-Oct-19,98.75
06-Oct-19,74.2
07-Oct-19,124.3
08-Oct-19,70.8
09-Oct-19,131.1
10-Oct-19,131.1
11-Oct-19,156.85
12-Oct-19,270.55
13-Oct-19,162
14-Oct-19,133.65
15-Oct-19,222.9
16-Oct-19,126.6
17-Oct-19,133.5
18-Oct-19,104.15
19-Oct-19,121.1
20-Oct-19,110.85
21-Oct-19,161.7
23-Oct-19,99.85
24-Oct-19,139.65
25-Oct-19,205.7
26-Oct-19,158
27-Oct-19,57.9
28-Oct-19,35.9
29-Oct-19,84.05
30-Oct-19,100
31-Oct-19,187.95
01-Nov-19,139.05
02-Nov-19,101
03-Nov-19,106.7
04-Nov-19,143.4
05-Nov-19,159.25
06-Nov-19,166.3
07-Nov-19,151.55
08-Nov-19,876.25
09-Nov-19,293.25
10-Nov-19,121.45
11-Nov-19,115.9
12-Nov-19,156.05
13-Nov-19,185.6
14-Nov-19,226.8
15-Nov-19,168.3
16-Nov-19,193.6
17-Nov-19,98.85
18-Nov-19,153.1
19-Nov-19,187.4
20-Nov-19,200
21-Nov-19,213.75
22-Nov-19,468
23-Nov-19,270.15
24-Nov-19,63.5
25-Nov-19,203.2
26-Nov-19,192.3
27-Nov-19,436.45
28-Nov-19,116
29-Nov-19,265.2
30-Nov-19,234.6
01-Dec-19,190.15
02-Dec-19,128.8
03-Dec-19,103.95
04-Dec-19,167.7
05-Dec-19,138.35
06-Dec-19,177.85
07-Dec-19,141.45
08-Dec-19,168.5
09-Dec-19,141.15
10-Dec-19,166.7
11-Dec-19,136
12-Dec-19,173.35
13-Dec-19,146.35
14-Dec-19,138.8
15-Dec-19,170.8
16-Dec-19,132.35
17-Dec-19,218.4
18-Dec-19,210.75
19-Dec-19,160.85
20-Dec-19,126.5
21-Dec-19,188.7
22-Dec-19,57.15
23-Dec-19,127.95
24-Dec-19,166.45
25-Dec-19,161.55
26-Dec-19,88.5
27-Dec-19,133
28-Dec-19,214.1
29-Dec-19,85.5
30-Dec-19,182.9
31-Dec-19,322.7
